지표,군집7평균,타군집평균,차이(%),t-statistic,p-value,유의함
업종매출비율,212.04349226804123,128.52934249508303,64.97671905242423,38.05013960512957,0.0,***
업종건수비율,264.4819587628866,143.6895162695745,84.06489605455597,40.758226560132854,0.0,***
업종순위,19.41742912371134,32.0908519431374,-39.49232274008313,-38.424093707489085,0.0,***
상권순위,15.897277706185568,24.698760176264095,-35.635320992901065,-29.400090781107526,4.697367340057371e-189,***
업종해지비중,17.17090850515464,16.108516941768116,6.595216476023472,20.858654063759676,2.1992739944680825e-96,***
상권해지비중,-172351.3448936856,-252999.79200089624,-31.87688277108344,14.20786815295634,9.219959760564109e-46,***
직장고객,-58128.17959085051,-86701.7147733214,-32.95613617005776,7.794313430557575,6.5476250595700175e-15,***
유동고객,-58094.003801546394,-86666.13563248438,-32.96804642600047,7.7936280477597215,6.583231260395897e-15,***
거주고객,-58135.93162048969,-86679.71366918118,-32.93017574750039,7.786022530913495,6.991364046901295e-15,***
배달비율,-678152.1268685567,-661304.2442763961,2.5476749526378253,-2.7048048182187268,0.006835790228717316,**
신규율,-14487.099220360824,-19322.192555953894,-25.023523192781745,2.6895691144855074,0.007155804439294278,**
재방문율,-14473.809268685567,-19306.82661251774,-25.03268631779521,2.688372521468699,0.0071814986831995374,**
