상권_코드,상권명,클러스터,총_가맹점수,폐업_가맹점수,폐업률(%)
3110147.0,능동우편취급국,6.0,77,24,31.16883116883117
3110133.0,서울교통공사,5.0,596,48,8.053691275167784
3110138.0,송정체육공원,2.0,315,24,7.6190476190476195
3110136.0,경수초등학교,7.0,1453,85,5.8499655884377155
3110115.0,상왕십리역 3번,0.0,427,23,5.386416861826698
3110104.0,신금호역 4번,6.0,1564,81,5.179028132992328
3120052.0,성수역,7.0,945,48,5.079365079365079
3110057.0,황학코아루아파트,0.0,957,48,5.015673981191222
3110127.0,성수1가1동주민센터,5.0,991,43,4.339051463168516
3120048.0,금호역,1.0,1876,77,4.104477611940299
3110103.0,옥수터널,1.0,1910,76,3.9790575916230364
3110125.0,사근동살곶이상점가,6.0,1045,41,3.923444976076555
3110122.0,마장역 2번,1.0,613,24,3.915171288743882
3110121.0,한양대역 4번,4.0,5106,197,3.8582060321190754
3110120.0,서울숲카페거리,2.0,1531,58,3.7883736120182885
3110126.0,서울숲역 1번,5.0,3494,132,3.777904979965655
3130073.0,뚝도시장,1.0,4675,163,3.486631016042781
3110110.0,상왕십리역 6번,0.0,2503,85,3.395924890131842
3110111.0,대현산장미원,1.0,1640,55,3.353658536585366
3110141.0,건대입구역 1번,2.0,730,24,3.287671232876712
3110131.0,성수동카페거리,7.0,3810,117,3.0708661417322833
3110128.0,성원중학교,6.0,2744,83,3.0247813411078717
3130069.0,"한양대앞상점가(한양시장, 왕십리맛골목)",4.0,1897,56,2.952029520295203
3110113.0,응봉산,1.0,830,24,2.891566265060241
3130065.0,무학봉상점가,0.0,1715,48,2.7988338192419824
3110117.0,성동구보건소,1.0,546,15,2.7472527472527473
3110108.0,성동구립금호도서관,1.0,904,24,2.6548672566371683
3130064.0,금남시장,1.0,949,24,2.528977871443625
3110118.0,왕십리역 9번,4.0,3151,79,2.507140590288797
3130066.0,행당시장상점가,0.0,3609,87,2.4106400665004157
3130071.0,성수역 골목형상점가,5.0,1191,28,2.3509655751469354
3110107.0,금호사거리,1.0,2046,41,2.0039100684261975
3110112.0,행당역 2번,0.0,3439,62,1.8028496656004651
3110119.0,마장지하차도,1.0,5099,89,1.7454402824083153
3130074.0,영동교골목시장,1.0,459,8,1.7429193899782136
3120066.0,장한평역(장한평),3.0,614,10,1.6286644951140066
3110134.0,성수119안전센터,6.0,3137,48,1.5301243226012113
3130067.0,왕십리도선동상점가,0.0,1597,24,1.5028177833437695
3110101.0,옥정중학교,1.0,1758,24,1.3651877133105803
3130072.0,성동용답상가시장,8.0,2986,40,1.3395847287340925
3120051.0,뚝섬역,5.0,1559,17,1.0904425914047466
3120050.0,서울숲역,5.0,3074,29,0.9433962264150944
3110123.0,마장역 3번,1.0,919,1,0.1088139281828074
3110105.0,금동어린이공원,0.0,120,0,0.0
3110135.0,성동세무서,2.0,72,0,0.0
3110099.0,유엔빌리지길,5.0,72,0,0.0
3110139.0,자양4동주민센터,0.0,83,0,0.0
3110130.0,답십리역 6번,5.0,24,0,0.0
3130055.0,"황학시장(서울중앙시장, 신중앙시장)",1.0,24,0,0.0
3110098.0,서울독일학교,2.0,286,0,0.0
3110100.0,옥수동우편취급국,2.0,180,0,0.0
3110114.0,왕십리파출소,2.0,204,0,0.0
3110137.0,성수초등학교,8.0,1527,0,0.0
3130068.0,마장축산물시장,1.0,336,0,0.0
3130070.0,뚝섬역상점가,5.0,276,0,0.0
3110142.0,화양사거리,6.0,440,0,0.0
3110109.0,금호삼성래미안아파트,1.0,195,0,0.0
3110124.0,뚝섬역교차로,2.0,248,0,0.0
3130063.0,신금호역 골목형상점가,5.0,158,0,0.0
3120049.0,왕십리역(왕십리),4.0,546,0,0.0
3110106.0,금북초등학교,2.0,125,0,0.0
3110102.0,옥수역 6번,1.0,1105,0,0.0
3110132.0,성수2가3동주민센터,2.0,40,0,0.0
